collect,like,read,review,title
0,0,290,0,【一周题目总结】没做出来的题
0,0,250,0,leetcode:找出数组中的所有 K 近邻下标
0,0,745,0,leetcode:6032. 得到要求路径的最小带权子图
0,0,297,0,【java基础】
1,1,648,8,区块链（BTC）学习总结1
0,1,551,2,【java基础】
0,0,274,0,网络应用层概述
5,1,910,0,智能合约是什么？
3,1,497,0,智能合约应用场景
3,1,595,5,BitTorrent概述
3,1,468,3,以太坊Win10单机Geth多节点互联部署（填坑，亲测可用）
9,0,668,5,以太坊+win10+geth+智能合约（编译+部署+调用）完整版
0,6,807,5,PAT (Advanced Level) 1013 Battle Over Cities (25 分)
3,0,1890,0,solidity keccak256初探
3,1,706,4,solidity智能合约-秘密拍卖合约讲解
1,1,209,0,桥牌坐庄训练bm2000 level3闯关记录——A4
0,2,308,0,桥牌坐庄训练bm2000 level3闯关记录（持续更新）
2,1,255,0,爬虫——豆瓣top250电影爬取实验
1,1,2615,5,区块链总体应用概况
1,1,2012,7,区块链详细应用举例（一）
2,1,252,0,钉钉机器人（python实现）具体流程分析&学习
0,1,1091,3,发现100个中国区块链创新应用学习总结（1-5）
0,0,278,1,选课&蹭课记录（2021.8.31）
0,1,222,1,OS开学考前临时抱佛jio（2）
2,1,566,0,智能合约安全漏洞检测技术研究综述——常见漏洞简述
0,0,326,0,solidity:合约之间的转账和函数调用
1,0,220,0,比特币白皮书精读翻译
1,1,499,0,计网mooc测试1
0,0,1042,0,Metamask + remix:在ropsten测试链上取出已经部署的合约并进行一些操作
0,0,1164,0,solidity:库函数编写与调用
4,4,589,0,sql：查询选修了全部课程的学生姓名
6,2,975,0,计算机网络MOOC期末考试答案与解析
1,0,1506,0,《模仿游戏》观后感
6,0,349,3,智能合约漏洞检测论文整理
2,1,2535,0,区块链基础复习（共识算法）
0,0,1953,0,比特币客户端在centos7下的下载安装
5,1,823,0,智能合约漏洞检测工具mythril使用
0,0,227,0,Go：多个协程同时修改同一全局变量（不带互斥锁）
0,0,318,0,《虚拟机-乌邦图-呐喊》
1,0,474,0,java：国际化编程
2,3,275,3,java：xml文件的解析
0,0,2621,0,python游戏开发之小乌龟逃离鲨海
0,0,826,0,leetcode:提莫攻击
0,0,2064,0,leetcode：祖玛游戏
0,0,1147,0,leetcode:不同的二叉搜索树 II
0,0,1901,0,leetcode:检测大写字母
0,1,2059,0,基于GNN的智能合约漏洞检测（tmp）方法部分翻译（1）
1,0,1319,0,基于GNN的智能合约漏洞检测（tmp）概述
0,0,4260,0,PBFT：实用拜占庭容错论文学习（1）
0,0,810,0,基于GNN的智能合约漏洞检测（tmp）方法部分翻译（2）
0,2,1013,0,raft论文阅读（1）
0,0,1834,0,leetcode:完美矩形
2,1,852,2,基于深度学习GNN的智能合约漏洞检测特征提取流程
0,0,254,0,leetcode:二叉树的坡度
1,1,230,0,java网络编程：udp信息交流
0,0,1365,0,raft学习（4）——算法核心介绍+state
0,0,981,0,raft学习（6）
0,0,312,0,数据可视化：icon统一风格
0,0,241,0,leetcode 第 K 个最小的素数分数（最小堆+优先队列）
0,0,1614,0,区块链攻防（2）
0,0,1104,0,区块链攻防（3）
0,0,784,0,leetcode：K 次取反后最大化的数组和
0,0,2843,0,区块链身份认证与存证固证平台设想
0,0,232,0,leetcode:赎金信(Counter妙用 + len提前判断）
0,0,945,0,leetcode:超级次方
0,0,817,0,python:如何对float保留两位小数
0,1,246,0,leetcode: 截断句子
0,0,224,0,raft学习（10）——日志一致的精髓
0,0,375,0,leetcode:边界着色
0,0,450,0,raft学习(11)-最后的一些log entries
1,0,2183,0,区块链攻防最全汇总
0,0,3161,0,leetcode：有效的井字游戏
0,0,356,0,raft学习（12）
0,0,580,0,leetcode:三个无重叠子数组的最大和
0,0,664,0,leetcode:最短补全词(Counter解决包含关系yyds）
0,0,642,0,raft学习（13）
0,0,221,0,leetcode:在线选举
0,0,210,0,leetcode:恢复二叉搜索树
0,0,1060,0,raft学习（14）
0,0,704,0,leetcode:转换成小写字母
0,0,971,0,raft学习（15）——安全性证明
0,0,289,0,raft详解（动画版）
0,0,1335,0,raft学习（16）
0,0,617,0,leetcode:可见点的最大数目
0,0,214,0,raft学习（17）
0,0,281,0,leetcode:喧闹和富有(dfs)
0,0,286,0,raft的part 2a部署指导
0,0,542,0,leetcode:二叉树的锯齿形层序遍历
0,0,566,0,leetcode:二叉树的层序遍历
0,0,730,0,java：jdbc连mysql几个坑点
0,0,556,0,leetcode:找到小镇的法官
1,0,205,0,这可能是全网最透彻的raft election + hearbeat（mit6.824 part a）代码解析（1）
0,0,409,0,leetcode:供暖器
0,0,4706,0,给所有想从事区块链工作的同学参考的一幅图
0,0,391,0,leetcode：一年中的第几天
0,0,2402,0,leetcode: 跳跃游戏2（复杂度为o(n)的解法）
0,0,247,0,raft partd 日志压缩 部署指导
0,0,288,0,leetcode:Bigram 分词
0,0,426,0,leetcode:奇偶树
0,0,280,0,leetcode:20211216周赛第三题相同元素的间隔之和
0,1,221,0,leetcode:吃苹果的最大数目（最小堆+贪心）
0,0,311,0,leetcode:双周赛12.25判断一个括号字符串是否有效
0,0,591,0,leetcode:适龄的朋友
0,0,393,0,leetcode:单词拆分(回溯dfs+python优雅的记忆化搜索装饰器）
0,0,319,0,leetcode:完美数（枚举 or 打表？）
0,0,305,0,leetcode:将一维数组转变成二维数组
0,0,1736,0,leetcode:消除游戏（等差数列方法）
0,0,484,0,leetcode:一周中的第几天
0,1,4446,1,2022寒假计划
0,0,489,1,leetcode：20210102周赛第四题——参加会议的最多员工数（基环树+找树枝+dfs最长树枝）
1,1,4684,2,共识算法介绍与分析（PoW、PBFT、Paxos、Raft）
0,0,248,0,leetcode:简化路径
0,0,613,0,python操纵mysql的方法
0,0,394,0,leetcode:课程表
0,0,256,0,leetcode:二叉树的最近公共祖先
0,0,217,0,leetcode:数组中的第K个最大元素
0,0,206,0,CF-Watermelon
0,0,345,0,pat甲级乙级辅导
0,0,590,0,leetcode:计算力扣银行的钱
0,0,532,0,PAT甲级——1158 Telefraud Detection (25 分)
0,0,536,0,leetcode:同时运行 N 台电脑的最长时间
0,0,493,2,PAT甲级——1159 Structure of a Binary Tree (30 分)（这可能是二叉树大保健）
0,0,345,0,leetcode:219. 存在重复元素 II
0,0,396,0,Python小游戏/小系统源码
0,0,1803,0,leetcode：石子游戏 IX
0,0,2293,0,leetcode:跳跃游戏 IV
0,0,548,0,leetcode:最小时间差
0,1,720,1,leetcode:1332. 删除回文子序列
0,1,202,0,leetcode:股票价格波动
0,1,843,0,记leetcode周赛第一次ak（虽然很多bug）2022.1.22周赛
1,1,1424,0,java继承：父类对象可以被子类赋值，反之不行哦
0,0,606,0,pat甲级：1160 Forever (20 分)
0,0,615,0,FingerPrint：go转java源码解析
0,0,291,0,leetcode:检测正方形
0,0,505,0,leetcode:句子中的有效单词数
0,0,572,0,pat甲级——1161 Merging Linked Lists (25 分)（bug大作战）
0,0,278,0,怎么就傻到出k
0,1,1435,0,CSNOTE计算机基础学习路径
0,0,2393,0,leetcode:游戏中弱角色的数量
0,0,308,0,leetcode:地图中的最高点（多源bfs）
0,0,210,0,CF：158A
0,0,232,0,CF761B（三数之和，构造，gcd，println）
0,0,535,0,leetcode:两句话中的不常见单词
0,0,347,0,leetcode：查找给定哈希值的子串（20220130周赛第三万恶的除法取余不恒等）
0,0,888,0,leetcode:反转单词前缀
0,0,1083,0,leetcode:将数字变成 0 的操作次数
0,0,283,0,leetcode:最长的美好子字符串
0,1,449,0,sql必知必会（检索排序过滤通配符）
0,0,305,0,leetcode:1414. 和为 K 的最少斐波那契数字数目
0,0,431,0,leetcode:可以形成最大正方形的矩形数目
0,0,659,0,pat甲级：1162 Postfix Expression (25 分)
0,0,322,0,oracle sql 正则表达式
0,0,424,0,java常量池：八种基本类型+string，自动装拆箱
0,0,421,0,pat甲级：1163 Dijkstra Sequence (30 分)
0,0,622,0,leetcode:网格照明
0,0,242,0,leetcode:最简分数
0,0,606,0,leetcode:有序数组中的单一元素
0,0,210,0,你会用turtle画画吗？
0,0,249,0,PAT甲级——1164 Good in C (20 分)
0,1,300,0,leetcode:抽象模拟重构一棵树的方案数
0,1,304,0,PAT甲级——1166 Summit (25 分)
0,1,224,0,cpp：stl总结
0,0,288,0,PAT甲级——1165 Block Reversing (25 分)
0,1,254,0,leetcode2.18-2.19两次周赛做出了7t（有一t赶着去吃饭没做了可惜）
0,0,316,0,leetcode:计算右侧小于当前元素的个数(sortedlist+bisect_left)
0,0,1075,0,leetcode: 仅仅反转字母
0,0,347,0,scrapy爬虫总结
0,0,1792,0,leetcode:复数乘法
0,0,1094,0,leetcode sql:游戏玩法分析 III
0,1,335,0,leetcode: 球会落何处
0,1,1682,0,leetcodeSQL： 游戏玩法分析 IV
0,0,1177,0,leetcode:最多可达成的换楼请求数目(看到数据量就应该无脑穷举）
0,0,481,0,设计模式八股文：分类和工厂模式
0,0,1014,0,“应用区块链的多接收者多消息签秘方案”论文学习
0,0,221,0,leetcode:109. 有序链表转换二叉搜索树
0,0,1187,0,【java基础】
0,0,796,0,leetcode:填充每个节点的下一个右侧节点指针
0,0,1444,0,【论文总结】区块链数据隐私保护：研究现状和展望
0,0,499,0,leetcode:N 叉树的前序遍历
0,0,255,0,【java基础】
0,1,207,0,leetcode:5995. 字符串分组(hard)
0,0,340,0,leetcode:最长连续序列
0,0,439,0,leetcode:格雷编码
0,0,255,0,leetcode:从前序与中序遍历序列构造二叉树
1,0,791,0,python爬虫beautifulsoup findall函数详解
1,1,4012,0,如何在pycharm中使用tensorflow
